Title,Rating,Review,Price,MRP,Discount,Delivery,Offer
Frontech - 50.8 cm (20 inch) HD LED Backlit VA Panel Monitor (MON-0074)                                      ,   4   ,53 Reviews      ,"₹2,699    ","₹8,000    ",66% off ,Free delivery ,Bank Offer    
"DELL S Series 68.58 cm (27 inch) Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light tec...  ",   4.4 ,545 Reviews     ,"₹11,999   ","₹23,316   ",48% off ,Free delivery ,Upto          
"DELL 68.58 cm (27 inch) Full HD LED Backlit VA Panel with 16:9 Aspect Ratio, 300 Nits Brightness (Typi...  ",   4.4 ,35 Reviews      ,"₹9,299    ","₹31,859   ",70% off ,Free delivery ,Bank Offer    
ZEBSTER 50.8 cm (20 inch) HD VA Panel Monitor (Z-GV120)                                                      ,   3.8 ,20 Reviews      ,"₹2,699    ","₹6,999    ",61% off ,Free delivery ,Bank Offer    
"Acer 54.61 cm (21.5 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI & VGA Ports, Eye Care Moni...  ",   4.3 ,878 Reviews     ,"₹5,999    ","₹7,599    ",21% off ,Free delivery ,Bank Offer    
MarQ by Flipkart 60.96 cm (24 inch) Full HD IPS Panel Inbuilt Speakers Monitor (24FHDMEQNNXO)                ,   4.3 ,782 Reviews     ,"₹6,799    ","₹17,200   ",60% off ,Free delivery ,Bank Offer    
Enter 48.26 cm (19 inch) HD TN Panel Gaming Monitor (E-MO-A01)                                               ,   3.9 ,25 Reviews      ,"₹2,399    ","₹12,500   ",80% off ,Free delivery ,Bank Offer    
"Lenovo L-Series 55.88 cm (22 inch) Full HD LED Backlit IPS Panel with 99% sRGB, HDMI 1.4, VGA, 2X3W Sp...  ",   4.4 ,115 Reviews     ,"₹7,199    ","₹11,290   ",36% off ,Free delivery ,Only 9 left   
Frontech - 55.88 cm (22 inch) HD LED Backlit VA Panel Monitor (MON_0060)                                     ,   3.7 ,636 Reviews     ,"₹3,099    ","₹8,500    ",63% off ,Free delivery ,              
"SAMSUNG 60.96 cm (24 inch) Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat ...  ",   4.4 ,221 Reviews     ,"₹7,699    ","₹16,000   ",51% off ,Free delivery ,Bank Offer    
"DELL 60.96 cm (24 inch) Full HD IPS Panel 99% sRGB, 250 nits brightness , 3H Hardness, Gray-To-Gray (F...  ",   4.3 ,70 Reviews      ,"₹14,799   ","₹35,978   ",58% off ,Free delivery ,Bank Offer    
"DELL 68.58 cm (27 inch) Full HD IPS Panel Anti-Glare With 3H Hardness, Gray-To-Gray (Fast mode), Ports...  ",   4.3 ,70 Reviews      ,"₹17,399   ","₹43,636   ",60% off ,Free delivery ,Bank Offer    
ZEBRONICS Zebster 46.99 cm (18.5 inch) HD LED Backlit Monitor (ZEBSTER)                                      ,   3.4 ,9 Reviews       ,"₹2,799    ","₹7,222    ",61% off ,Free delivery ,              
"Lenovo L-Series 68.58 cm (27 inch) Full HD LED Backlit IPS Panel with 99% sRGB, 1xHDMI1.4, 1xVGA, Tilt...  ",   4.2 ,4 Reviews       ,"₹11,599   ","₹15,590   ",25% off ,Free delivery ,              
"BenQ GW2790 68.58 cm (27 inch) Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display P...  ",   4.4 ,167 Reviews     ,"₹10,498   ","₹17,990   ",41% off ,Free delivery ,Only 5 left   
"MSI 60.96 cm (24 inch) Full HD IPS Panel with Anti-Flicker Technology, Less Blue, Light, Wide Color Ga...  ",   4.4 ,102 Reviews     ,"₹8,999    ","₹22,200   ",59% off ,Free delivery ,Bank Offer    
Lenovo 54.61 cm (21.5 inch) Full HD VA Panel Monitor (L22e-40)                                               ,   4.5 ,46 Reviews      ,"₹6,499    ","₹9,690    ",32% off ,Free delivery ,Only 2 left   
DELL S-Series 60.96 cm (24 inch) Full HD LED Backlit IPS Panel Monitor (S2425H)                              ,   4.3 ,1 Reviews       ,"₹10,499   ","₹18,999   ",44% off ,Free delivery ,Bank Offer    
"LG 81.28 cm (32 inch) Full HD LED Backlit IPS Panel with Motion Blur Reduction, OnScreen Control, Read...  ",   4.2 ,53 Reviews      ,"₹10,999   ","₹26,500   ",58% off ,Free delivery ,Only 3 left   
Lenovo 60.45 cm (23.8 inch) Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D2...    ,   4.3 ,522 Reviews     ,"₹6,599    ","₹12,690   ",47% off ,Free delivery ,Upto          
"Lenovo L - Series 68.58 cm (27 Inch) Full HD LED Backlit IPS Panel with TUV Eye Care, Smart Display Cu...  ",   4.4 ,60 Reviews      ,"₹9,999    ","₹18,290   ",45% off ,Free delivery ,Only 4 left   
"DELL 54.61 cm (21.5 inch) Full HD LED Backlit VA Panel with 250 Nits Brightness, Contrast Ratio 3000:1...  ",   4.4 ,35 Reviews      ,"₹6,599    ","₹16,519   ",60% off ,Free delivery ,Only 3 left   
Enter 50.8 cm (20 inch) HD VA Panel Gaming Monitor (20 INCH HDMI)                                            ,   4   ,17 Reviews      ,"₹2,599    ","₹15,000   ",82% off ,Free delivery ,Bank Offer    
